Title,Score,EpisodeCount,Studio,Source,Aired,Members,Favorites,Popularity,Rank
Jujutsu Kaisen 0 Movie,8.54,1, MAPPA, Manga,TBD,348655,5802,520,95
Kara no Kyoukai 5: Mujun Rasen\the Garden of sinners Chapter 5: Paradox Paradigm,8.54,1, ufotable, Light novel,TBD,215889,4229,888,96
"Fate/stay night Movie: Heavens Feel - II. Lost Butterfly\Fate/stay night: Heavens Feel - II. Lost Butterfly""",8.53,1, ufotable, Visual novel,TBD,312334,3116,594,97
Gintama.: Porori-hen\Gintama.: Slip Arc,8.53,13, Bandai Namco Pictures, Manga, Fall 2017,168636,826,1117,98
Kenpuu Denki Berserk\Berserk,8.53,25, OLM, Manga, Fall 1997,524498,21547,333,99
Shingeki no Kyojin\Attack on Titan,8.53,25, Wit Studio, Manga, Spring 2013,3350249,149208,1,100
Slam Dunk,8.53,101, Toei Animation, Manga, Fall 1993,249753,6031,770,101
Perfect Blue,8.52,1, Madhouse, Novel,TBD,547223,14314,319,102
Steins;Gate 0,8.52,23, White Fox, Visual novel, Spring 2018,744262,10354,187,103
Gintama Movie 1: Shinyaku Benizakura-hen\Gintama: The Movie,8.52,1, Sunrise, Manga,TBD,142515,550,1309,104
Karakai Jouzu no Takagi-san 3\Teasing Master Takagi-san,8.52,12, Shin-Ei Animation, Manga, Winter 2022,118011,1653,1485,105
Koukaku Kidoutai: Stand Alone Complex 2nd GIG\Ghost in the Shell: Stand Alone Complex 2nd GIG,8.52,26, Production I.G, Manga, Winter 2004,208850,2917,919,106
Ansatsu Kyoushitsu 2nd Season\Assassination Classroom Second Season,8.51,25, Lerche, Manga, Winter 2016,1204238,16249,84,107
Banana Fish,8.51,24, MAPPA, Manga, Summer 2018,689786,25515,223,108
Hotaru no Haka\Grave of the Fireflies,8.51,1, Studio Ghibli, Novel,TBD,563301,6529,304,109
Nana,8.51,47, Madhouse, Manga, Spring 2006,534206,22347,328,110
One Punch Man,8.51,12, Madhouse, Web manga, Fall 2015,2738753,56836,4,111
Uchuu Kyoudai\Space Brothers,8.51,99, A-1 Pictures, Manga, Spring 2012,172838,3615,1087,112
Rainbow: Nisha Rokubou no Shichinin\Rainbow,8.5,26, Madhouse, Manga, Spring 2010,353445,7826,511,113
Samurai Champloo,8.5,26, Manglobe, Original, Spring 2004,1081608,32478,99,114
Shingeki no Kyojin Season 2\Attack on Titan Season 2,8.5,12, Wit Studio, Manga, Spring 2017,2256819,19426,12,115
Tian Guan Ci Fu Special,8.5,1, Haoliners Animation League, Web novel,TBD,28736,324,3507,116
Aria the Origination,8.5,13, Hal Film Maker, Manga, Winter 2008,113138,3819,1546,117
"JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai\JoJos Bizarre Adventure: Diamond is Unbreakable""",8.5,39, David Production, Manga, Spring 2016,905670,33188,132,118
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.49,12, White Fox, Light novel, Winter 2021,674471,10799,227,119
Mob Psycho 100,8.48,12, Bones, Web manga, Summer 2016,1685189,37224,36,120
Chihayafuru 3,8.48,24, Madhouse, Manga, Fall 2019,116674,1268,1502,121
Gintama: The Semi-Final,8.48,2, Bandai Namco Pictures, Manga,TBD,52499,200,2537,122
"JoJo no Kimyou na Bouken Part 6: Stone Ocean\JoJos Bizarre Adventure: Stone Ocean""",8.48,12, David Production, Manga,TBD,311528,6159,598,123
"Josee to Tora to Sakana-tachi\Josee, the Tiger and the Fish",8.47,1, Bones, Novel,TBD,275309,4408,695,124
"Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu\KonoSuba: Gods Blessing on This Wonderful World!: Legend of Crimson""",8.47,1, J.C.Staff, Light novel,TBD,620093,4218,255,125
Mo Dao Zu Shi,8.47,15, B.CMAY PICTURES, Web novel,TBD,187454,5529,1012,126
Zoku Owarimonogatari,8.47,6, Shaft, Light novel,TBD,193088,840,986,127
