Title,Score,EpisodeCount,Studio,Source,Aired,Members,Favorites,Popularity,Rank
"Kuroko no Basket\Kurokos Basketball""",8.08,25, Production I.G, Manga, Spring 2012,1037597,19372,108,466
"Kuroko no Basket Movie 4: Last Game\Kurokos Basketball the Movie: Last Game""",8.08,1, Production I.G, Manga,TBD,241160,881,799,467
Kuroshitsuji: Book of Circus\Black Butler: Book of Circus,8.08,10, A-1 Pictures, Manga, Summer 2014,356425,3321,504,468
Mairimashita! Iruma-kun 2nd Season,8.08,21, Bandai Namco Pictures, Manga, Spring 2021,210775,1988,909,469
Detective Conan Movie 08: Magician of the Silver Sky,8.07,1, TMS Entertainment, Manga,TBD,50134,36,2607,470
Dorohedoro,8.07,12, MAPPA, Manga, Winter 2020,423871,6384,421,471
Douluo Dalu: Hao Tian Yang Wei,8.07,13, Sparkly Key Animation Studio, Novel,TBD,7144,36,6293,472
Durarara!!x2 Ketsu,8.07,12, Shuka, Light novel, Winter 2016,343675,1057,534,473
Gintama: Dai Hanseikai,8.07,1, Sunrise, Manga,TBD,33854,50,3230,474
Girls & Panzer: Saishuushou Part 2\Girls und Panzer das Finale  Part 2,8.07,1, Actas, Original,TBD,26917,78,3629,475
Glass no Kamen (2005)\Glass Mask,8.07,51, Tokyo Movie Shinsha, Manga, Spring 2005,35135,470,3164,476
Gosick,8.07,24, Bones, Light novel, Winter 2011,487787,7601,357,477
Kamisama Hajimemashita\Kamisama Kiss,8.07,13, TMS Entertainment, Manga, Fall 2012,556993,12307,309,478
Koukyoushihen Eureka Seven\Eureka Seven,8.07,50, Bones, Original, Spring 2005,407149,8749,437,479
Kuroshitsuji: Book of Murder\Black Butler: Book of Murder,8.07,2, A-1 Pictures, Manga,TBD,217473,1020,884,480
"Mahoutsukai no Yome\The Ancient Magus Bride""",8.07,24, Wit Studio, Manga, Fall 2017,765547,9731,176,481
Omoide no Marnie\When Marnie Was There,8.07,1, Studio Ghibli, Novel,TBD,246380,2105,782,482
Shijou Saikyou no Deshi Kenichi\KenIchi: The Mightiest Disciple,8.07,50, TMS Entertainment, Manga, Fall 2006,273789,3297,700,483
Serial Experiments Lain,8.06,13, Triangle Staff, Original, Summer 1998,616704,21041,258,484
xxxHOLiC: Shunmuki,8.06,2, Production I.G, Manga,TBD,64508,98,2259,485
City Hunter 2,8.06,63, Sunrise, Manga, Spring 1988,22807,138,3917,486
Dennou Coil\Den-noh Coil,8.06,26, Madhouse, Original, Spring 2007,133622,1546,1363,487
Fate/stay night: Unlimited Blade Works Prologue\Fate/stay night: Unlimited Blade Works - Prologue,8.06,1, ufotable, Visual novel,TBD,286148,420,664,488
Ginga Eiyuu Densetsu Gaiden (1999),8.06,28," Artland, Magic Bus", Novel,TBD,17936,28,4356,489
Hololive Alternative,8.06,1, Hololive Production, Other,TBD,6671,57,6456,490
Kill la Kill,8.05,24, Trigger, Original, Fall 2013,1524501,34511,48,491
Kodomo no Omocha (TV)\Kodocha,8.05,102, Gallop, Manga, Spring 1996,58756,1164,2387,492
Kyou kara Ore wa!!,8.05,10, Studio Pierrot, Manga,TBD,28590,334,3518,493
Saint Seiya: Meiou Hades Juuni Kyuu-hen\Saint Seiya: The Hades Chapter - Sanctuary,8.05,13, Toei Animation, Manga,TBD,51283,338,2565,494
Summer Wars,8.05,1, Madhouse, Original,TBD,475968,3654,368,495
Mobile Suit Gundam: Iron-Blooded Orphans,8.04,25, Sunrise, Original, Fall 2015,200083,2638,961,496
Paprika,8.04,1, Madhouse, Novel,TBD,449337,3665,391,497
Saiunkoku Monogatari 2nd Season\Tales of Saiunkoku,8.04,39, Madhouse, Light novel, Spring 2007,37782,194,3045,498
Shokugeki no Souma: San no Sara\Food Wars! The Third Plate,8.04,12, J.C.Staff, Manga, Fall 2017,848701,2526,150,499
SK\SK8 the Infinity,8.04,12, Bones, Original, Winter 2021,425421,10574,417,500
Tsumiki no Ie\La Maison en Petits Cubes,8.04,1, Oh! Production, Original,TBD,87581,461,1864,501
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,8.04,1, feel., Light novel,TBD,210991,388,907,502
BanG Dream! 3rd Season,8.04,13, SANZIGEN, Other, Winter 2020,29232,528,3483,503
Detective Conan Movie 10: Requiem of the Detectives,8.04,1, TMS Entertainment, Manga,TBD,49530,36,2627,504
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,8.04,1, Shin-Ei Animation, Unknown,TBD,10252,84,5428,505
Eve no Jikan\Time of Eve,8.04,6, Studio Rikka, Original,TBD,169040,1191,1114,506
Full Metal Panic? Fumoffu,8.04,12, Kyoto Animation, Light novel, Summer 2003,274994,2827,697,507
Juuni Kokuki\The Twelve Kingdoms,8.04,45, Studio Pierrot, Novel, Spring 2002,129470,2244,1401,508
Kara no Kyoukai 3: Tsuukaku Zanryuu\the Garden of sinners Chapter 3: Remaining Sense of Pain,8.04,1, ufotable, Light novel,TBD,207199,616,929,509
"Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!\KonoSuba: Gods Blessing on This Wonderful World! 2: Gods blessing on this wonderful Art!""",8.04,1, Studio Deen, Light novel,TBD,313230,682,589,510
LovelyComplex\Lovely Complex,8.04,24, Toei Animation, Manga, Spring 2007,517197,8869,338,511
Akatsuki no Yona\Yona of the Dawn,8.03,24, Studio Pierrot, Manga, Fall 2014,734432,13992,195,512
Baby Steps 2nd Season,8.03,25, Studio Pierrot, Manga, Spring 2015,84192,297,1923,513
Black Lagoon,8.03,12, Madhouse, Manga, Spring 2006,856733,15437,147,514
"Black Lagoon: Robertas Blood Trail""",8.03,5, Madhouse, Manga,TBD,251426,1058,768,515
Boku no Hero Academia the Movie 2: Heroes:Rising,8.03,1, Bones, Manga,TBD,451297,1674,387,516
D.Gray-man,8.03,103, TMS Entertainment, Manga, Fall 2006,633941,13054,246,517
Detective Conan Movie 03: The Last Wizard of the Century\Case Closed Movie 3: The Last Wizard of the Century,8.03,1, TMS Entertainment, Manga,TBD,58511,67,2396,518
Detective Conan Movie 04: Captured in Her Eyes\Case Closed Movie 4: Captured In Her Eyes,8.03,1, TMS Entertainment, Manga,TBD,55115,83,2481,519
FLCL,8.03,6," Gainax, Production I.G", Original,TBD,718272,26230,206,520
Ginga Nagareboshi Gin,8.03,21, Toei Animation, Manga, Spring 1986,23936,766,3830,521
Kami nomi zo Shiru Sekai: Megami-hen\The World God Only Knows: Goddesses,8.03,12, Manglobe, Manga, Summer 2013,311708,1937,597,522
Magi: The Labyrinth of Magic,8.03,25, A-1 Pictures, Manga, Fall 2012,923150,8394,128,523
Mushoku Tensei: Isekai Ittara Honki Dasu Special,8.03,1," None found, add some", Light novel,TBD,80269,311,1979,524
Omae Umasou da na\You Are Umasou,8.03,1, Ajia-Do, Picture book,TBD,16828,155,4476,525
Tate no Yuusha no Nariagari\The Rising of the Shield Hero,8.03,25, Kinema Citrus, Light novel, Winter 2019,1285335,24767,76,526
Toaru Kagaku no Railgun S\A Certain Scientific Railgun S,8.03,24, J.C.Staff, Manga, Spring 2013,347606,3579,525,527
Tokyo Magnitude 8.0,8.03,11," Bones, Kinema Citrus", Original, Summer 2009,272175,1675,706,528
Zombieland Saga: Revenge\Zombie Land Saga Revenge,8.03,12, MAPPA, Original, Spring 2021,172464,1256,1089,529
Pui Pui Molcar,8.02,12, Shin-Ei Animation, Other, Winter 2021,11136,192,5259,530
Slayers Next,8.02,26, E&G Films, Light novel, Spring 1996,64706,781,2253,531
Yahari Ore no Seishun Love Comedy wa Machigatteiru.\My Teen Romantic Comedy SNAFU,8.02,13,Studios: Brains Base, Light novel, Spring 2013,1236362,25982,81,532
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,8.02,1, Studio Gokumi, Light novel,TBD,13161,37,4915,533
Clannad,8.02,23, Kyoto Animation, Visual novel, Fall 2007,1280005,26243,77,534
Detective Conan Movie 15: Quarter of Silence,8.02,1, TMS Entertainment, Manga,TBD,42187,38,2856,535
ef: A Tale of Melodies.\ef - a tale of melodies.,8.02,12, Shaft, Visual novel, Fall 2008,155951,1653,1213,536
Evangelion: 1.0 You Are (Not) Alone,8.02,1, Khara, Original,TBD,476704,1605,365,537
Golden Boy,8.02,6, APPP, Manga,TBD,310863,4478,599,538
Hachimitsu to Clover\Honey and Clover,8.02,24, J.C.Staff, Manga, Spring 2005,243248,4032,794,539
Kaichou wa Maid-sama!\Maid Sama!,8.02,26, J.C.Staff, Manga, Spring 2010,1101964,20714,96,540
Kamisama Hajimemashita OVA,8.02,2, TMS Entertainment, Manga,TBD,111687,338,1561,541
Kara no Kyoukai Movie: Mirai Fukuin\the Garden of sinners -recalled out summer-,8.02,1, ufotable, Light novel,TBD,102419,259,1681,542
Aria the OVA: Arietta,8.01,1, Hal Film Maker, Manga,TBD,34459,73,3195,543
Douluo Dalu: Shan Yu Yu Lai,8.01,13, Sparkly Key Animation Studio, Novel,TBD,4097,37,7844,544
Eve no Jikan (Movie)\Time of Eve,8.01,1, Studio Rikka, Original,TBD,116352,582,1506,545
Fullmetal Alchemist: Brotherhood Specials\Fullmetal Alchemist: Brotherhood OVA Collection,8.01,4, Bones, Manga,TBD,143809,170,1296,546
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen\Ascendance of a Bookworm,8.01,14, Ajia-Do, Light novel, Fall 2019,217789,1883,882,547
Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,8,0," None found, add some", Other, Spring 2022,18170,106,4329,548
Love Live! Superstar!!,8.01,12, Sunrise, Other, Summer 2021,49822,872,2617,549
Mobile Suit Gundam: The 08th MS Team,8.01,12, Sunrise, Original,TBD,71638,939,2116,550
Nagi no Asu kara\A Lull in the Sea,8.01,26, P.A. Works, Original, Fall 2013,547622,9110,317,551
Persona 3 the Movie 4: Winter of Rebirth,8.01,1, A-1 Pictures, Game,TBD,61957,558,2310,552
Touch,8.01,101," Gallop, Group TAC, Studio Junio", Manga, Spring 1985,31217,503,3357,553
Uma Musume: Pretty Derby (TV) Season 2,8.01,13, Studio Kai, Game, Winter 2021,35105,524,3167,554
"Wolfs Rain OVA""",8.01,4, Bones, Original,TBD,60463,332,2345,555
Ookiku Furikabutte: Natsu no Taikai-hen\Big Windup! 2,8,13, A-1 Pictures, Manga, Spring 2010,41007,180,2899,556
School Rumble Ni Gakki\School Rumble: 2nd Semester,8,26, Studio Comet, Manga, Spring 2006,148078,721,1264,557
Code Geass: Hangyaku no Lelouch III - Oudou\Code Geass: Lelouch of the Rebellion III - Glorification,8,1, Sunrise, Original,TBD,79657,140,1988,558
Doupo Cangqiong 4th Season,8,24, Motion Magic, Novel,TBD,3670,71,8125,559
Durarara!!x2 Shou,8,12, Shuka, Light novel, Winter 2015,440397,928,404,560
Hanada Shounen-shi,8,25, Madhouse, Manga, Fall 2002,13566,130,4856,561
Hibike! Euphonium\Sound! Euphonium,8,13, Kyoto Animation, Novel, Spring 2015,399574,6258,450,562
High Score Girl II,8,9, J.C.Staff, Manga, Fall 2019,114145,724,1532,563
High Score Girl: Extra Stage,8,3, J.C.Staff, Manga,TBD,63795,137,2276,564
Kakushigoto (TV)\Kakushigoto,8,12, Ajia-Do, Manga, Spring 2020,277639,1826,686,565
Kimi ni Todoke\Kimi ni Todoke: From Me to You,8,25, Production I.G, Manga, Fall 2009,794116,11265,164,566
"Kobayashi-san Chi no Maid Dragon\Miss Kobayashis Dragon Maid""",8,13, Kyoto Animation, Manga, Winter 2017,1061312,15833,103,567
Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven\Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven,8,1, Production I.G, Unknown,TBD,27373,41,3602,568
Maoujou de Oyasumi\Sleepy Princess in the Demon Castle,8,12, Doga Kobo, Manga, Fall 2020,165082,1763,1150,569
BanG Dream! Movie: Episode of Roselia - II: Song I Am.,7.99,1, SANZIGEN, Original,TBD,5242,56,7093,570
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,7.99,4, Production I.G, Novel,TBD,22177,41,3963,571
Haikyuu!! Movie 2: Shousha to Haisha,7.99,1, Production I.G, Manga,TBD,72524,76,2096,572
Kimi ni Todoke 2nd Season\Kimi ni Todoke: From Me To You 2,7.99,12, Production I.G, Manga, Winter 2011,399714,1376,449,573
Koukaku Kidoutai 2.0\Ghost in the Shell 2.0,7.99,1, Production I.G, Manga,TBD,83038,232,1938,574
Major Movie: Yuujou no Winning Shot,7.99,1, Xebec, Manga,TBD,18861,22,4262,575
Promare,7.99,1, Trigger, Original,TBD,232993,2935,820,576
ReLIFE,7.99,13, TMS Entertainment, Web manga, Summer 2016,893863,8906,136,577
Sakasama no Patema\Patema Inverted,7.99,1," Studio Rikka, Purple Cow Studio Japan", Original,TBD,256887,1292,752,578
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen\Food Wars! The Third Plate: Totsuki Train Arc,7.99,12, J.C.Staff, Manga, Spring 2018,621481,1369,253,579
Working!!!\Wagnaria!!3,7.99,13, A-1 Pictures, 4-koma manga, Summer 2015,224751,904,848,580
xxxHOLiC,7.99,24, Production I.G, Manga, Spring 2006,285018,4039,671,581
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen\Samurai X: Reflection,7.98,2, Studio Deen, Manga,TBD,77673,351,2015,582
Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria\Sword Art Online the Movie: Progressive - Aria of a Starless Night,7.98,1, A-1 Pictures, Light novel,TBD,153288,1682,1227,583
Tennis no Ouji-sama: Zenkoku Taikai-hen - Final,7.98,7, M.S.C, Manga,TBD,33405,45,3258,584
Wan Sheng Jie 2\All Saints Street 2,7.98,12," None found, add some", Web manga,TBD,6665,41,6460,585
Akagami no Shirayuki-hime 2nd Season\Snow White with the Red Hair 2,7.98,12, Bones, Manga, Winter 2016,313267,1583,588,586
Aria the Origination: Sono Choppiri Himitsu no Basho ni...,7.98,1, Hal Film Maker, Manga,TBD,19795,25,4153,587
Durarara!!x2 Ten,7.98,12, Shuka, Light novel, Summer 2015,359563,735,498,588
Hyouge Mono,7.98,39, Bee Train, Manga, Spring 2011,24997,268,3744,589
Kingdom,7.98,38, Studio Pierrot, Manga, Summer 2012,169829,1292,1108,590
Azumanga Daioh\Azumanga Daioh: The Animation,7.97,26, J.C.Staff, 4-koma manga, Spring 2002,293008,5244,642,591
Fate/Grand Carnival,7.97,4, Lerche, Game,TBD,38982,227,2992,592
Haibane Renmei,7.97,13, Radix, Other, Fall 2002,244533,6537,790,593
Hokuto no Ken\Fist of the North Star,7.97,109, Toei Animation, Manga, Fall 1984,115654,2021,1512,594
IDOLiSH7 Vibrato,7.97,8, TROYCA, Game,TBD,12442,84,5040,595
Kanon (2006)\Kanon,7.97,24, Kyoto Animation, Visual novel, Fall 2006,252415,4238,763,596
"Mahou Shoujo Lyrical Nanoha As\Magical Girl Lyrical Nanoha As""",7.97,13, Seven Arcs, Original, Fall 2005,60711,956,2341,597
Naruto,7.97,220, Studio Pierrot, Manga, Fall 2002,2432572,68287,8,598
Noragami,7.97,12, Bones, Manga, Winter 2014,1899835,30564,21,599
One Piece Film: Strong World Episode 0,7.97,1, Toei Animation, Manga,TBD,74213,46,2062,600
Osomatsu-san\Mr. Osomatsu,7.97,25, Studio Pierrot, Original, Fall 2015,158180,3424,1198,601
Phantom: Requiem for the Phantom,7.97,26, Bee Train, Visual novel, Spring 2009,306270,4272,610,602
"Quanzhi Gaoshou 2\The Kings Avatar 2""",7.97,12, Colored Pencil Animation, Novel,TBD,98837,516,1726,603
Saint Seiya: The Lost Canvas - Meiou Shinwa\Saint Seiya: The Lost Canvas,7.97,13, TMS Entertainment, Manga,TBD,96884,834,1747,604
Tekkon Kinkreet,7.97,1, Studio 4C, Manga,TBD,98800,1298,1728,605
Youjo Senki\Saga of Tanya the Evil,7.97,12, Nut, Light novel, Winter 2017,764892,10310,178,606
"Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness\Yuri!!! On ICE: Yuri Plisetsky GPF in Barcelona EX ""Welcome to The Madness""",7.97,1, MAPPA, Original,TBD,72336,230,2099,607
Mawaru Penguindrum\Penguindrum,7.96,24,Studios: Brains Base, Original, Summer 2011,275259,6907,694,608
Nurarihyon no Mago: Sennen Makyou\Nura: Rise of the Yokai Clan - Demon Capital,7.96,24, Studio Deen, Manga, Summer 2011,150377,610,1250,609
Wan Sheng Jie\All Saints Street,7.96,12," None found, add some", Web manga,TBD,14152,251,4784,610
Boku no Hero Academia 4th Season\My Hero Academia Season 4,7.96,25, Bones, Manga, Fall 2019,1417304,7955,59,611
Dragon Ball,7.96,153, Toei Animation, Manga, Winter 1986,894298,13087,135,612
Haikyuu!! Movie 1: Owari to Hajimari,7.96,1, Production I.G, Manga,TBD,79855,97,1986,613
Hikaru no Go: Hokuto Hai e no Michi,7.96,1, Studio Pierrot, Manga,TBD,22168,32,3966,614
Kindaichi Shounen no Jikenbo\The File of Young Kindaichi,7.96,148, Toei Animation, Manga, Spring 1997,25947,198,3686,615
Kobato.,7.96,24, Madhouse, Manga, Fall 2009,153887,1395,1224,616
Kokoro Connect: Michi Random\Kokoro Connect OVA,7.96,4, SILVER LINK., Light novel,TBD,241346,823,798,617
Macross F Movie 2: Sayonara no Tsubasa,7.96,1," Satelight, 8bit", Original,TBD,25316,108,3725,618
Macross: Do You Remember Love?,7.96,1," Artland, Tatsunoko Production", Original,TBD,41556,652,2879,619
Boku no Hero Academia\My Hero Academia,7.95,13, Bones, Manga, Spring 2016,2576951,51448,6,620
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen\Clannad: Another World, Tomoyo Chapter",7.95,1, Kyoto Animation, Visual novel,TBD,285295,824,668,621
Douluo Dalu: Chongfan Haotian,7.95,13, Sparkly Key Animation Studio, Novel,TBD,3270,38,8420,622
Fate/kaleid liner PrismaIllya Movie: Sekka no Chikai\Fate/kaleid liner Prisma Illya: Vow in the Snow,7.95,1, SILVER LINK., Manga,TBD,81912,344,1957,623
Girls & Panzer: Saishuushou Part 1\Girls und Panzer das Finale  Part 1,7.95,1, Actas, Original,TBD,39119,118,2983,624
Gochuumon wa Usagi Desu ka? Bloom\Is the Order a Rabbit? Bloom,7.95,12, Encourage Films, 4-koma manga, Fall 2020,51262,411,2567,625
Hanamonogatari,7.95,5, Shaft, Light novel, Summer 2014,386686,1041,462,626
Kimi to Boku. 2\You and Me 2,7.95,13, J.C.Staff, Manga, Spring 2012,81665,363,1958,627
Kurenai no Buta\Porco Rosso,7.95,1, Studio Ghibli, Manga,TBD,206423,1622,935,628
Log Horizon,7.95,25, Satelight, Light novel, Fall 2013,1007238,9862,112,629
Non Non Biyori,7.95,12, SILVER LINK., Manga, Fall 2013,380107,5676,473,630
Trigun: Badlands Rumble\Trigun - Badlands Rumble,7.95,1, Madhouse, Manga,TBD,123803,228,1445,631
Usagi Drop Specials,7.95,4, Production I.G, Manga,TBD,65433,36,2242,632
Wotaku ni Koi wa Muzukashii\Wotakoi: Love is Hard for Otaku,7.95,11, A-1 Pictures, Web manga, Spring 2018,792588,9334,165,633
"xxxHOLiC Movie: Manatsu no Yoru no Yume\xxxHOLiC The Movie: A Midsummer Nights Dream""",7.95,1, Production I.G, Manga,TBD,60760,110,2337,634
Yowamushi Pedal,7.95,38, TMS Entertainment, Manga, Fall 2013,208889,2181,918,635
Mobile Suit Gundam Thunderbolt,7.94,4, Sunrise, Manga,TBD,46850,332,2699,636
Nekomonogatari: Kuro\Nekomonogatari Black,7.94,4, Shaft, Light novel, Fall 2012,497617,1126,351,637
Tamako Love Story,7.94,1, Kyoto Animation, Original,TBD,327694,1968,562,638
Umibe no tranger,7.94,1, Studio Hibari, Manga,TBD,121637,2097,1459,639
Zetsuen no Tempest\Blast of Tempest,7.94,24, Bones, Manga, Fall 2012,547977,6312,316,640
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,7.94,1, CloverWorks, Game,TBD,50474,322,2596,641
Fate/Grand Order: Zettai Majuu Sensen Babylonia\Fate/Grand Order: Absolute Demonic Front - Babylonia,7.94,21, CloverWorks, Game, Fall 2019,228113,2151,838,642
Full Metal Panic! The Second Raid,7.94,13, Kyoto Animation, Light novel, Summer 2005,244244,1238,792,643
Full Moon wo Sagashite\Searching for the Full Moon,7.94,52, Studio Deen, Manga, Spring 2002,100020,1683,1716,644
"Kuuchuu Buranko\Welcome to Irabus Office""",7.94,11, Toei Animation, Novel, Fall 2009,83850,1166,1928,645
Bishoujo Senshi Sailor Moon: Sailor Stars\Sailor Moon Sailor Stars,7.93,34, Toei Animation, Manga, Spring 1996,100230,1083,1713,646
Bungou Stray Dogs Wan!,7.93,12," Bones, Nomad", Manga, Winter 2021,84562,818,1916,647
Darker than Black: Kuro no Keiyakusha Gaiden,7.93,4, Bones, Original,TBD,239701,797,802,648
Eyeshield 21,7.93,145, Gallop, Manga, Spring 2005,166632,1880,1141,649
Final Fantasy VII: Advent Children Complete,7.93,1, Square Enix, Game,TBD,124153,728,1441,650
Hidamari Sketch x Honeycom,7.93,12, Shaft, 4-koma manga, Fall 2012,21414,170,4030,651
"JoJo no Kimyou na Bouken (TV)\JoJos Bizarre Adventure""",7.93,26, David Production, Manga, Fall 2012,1369242,32203,64,652
Kidou Keisatsu Patlabor 2 the Movie\Mobile Police Patlabor 2: The Movie,7.93,1, Production I.G, Original,TBD,29972,578,3430,653
Kotonoha no Niwa\The Garden of Words,7.93,1, CoMix Wave Films, Original,TBD,741273,6214,188,654
Love Live! The School Idol Movie,7.93,1, Sunrise, Original,TBD,118409,1151,1481,655
Mobile Suit Gundam 0080: War in the Pocket,7.93,6, Sunrise, Original,TBD,50183,807,2606,656
Mobile Suit Gundam Thunderbolt: December Sky,7.93,1, Sunrise, Manga,TBD,18938,142,4252,657
Princess Connect! Re:Dive Season 2,7.93,12, CygamesPictures, Game, Winter 2022,84797,597,1913,658
SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,7.93,1, Tatsunoko Production, Manga,TBD,20272,16,4112,659
Takarajima,7.93,26," Madhouse, TMS Entertainment", Novel, Fall 1978,17051,227,4453,660
Touhai Densetsu Akagi: Yami ni Maiorita Tensai\Akagi,7.93,26, Madhouse, Manga, Fall 2005,91798,1122,1810,661
Wotaku ni Koi wa Muzukashii OVA,7.93,3," A-1 Pictures, Lapin Track", Web manga,TBD,158771,405,1193,662
Yakitate!! Japan,7.93,69, Sunrise, Manga, Fall 2004,89049,841,1843,663
Yuru Yuri SanHai!,7.93,12, TYO Animations, Manga, Fall 2015,112594,660,1553,664
One Piece Film: Gold,7.92,1, Toei Animation, Manga,TBD,163950,260,1156,665
Ore Monogatari!!\My Love Story!!,7.92,24, Madhouse, Manga, Spring 2015,585686,4460,280,666
Overlord,7.92,13, Madhouse, Light novel, Summer 2015,1316963,21421,72,667
Overlord III,7.92,13, Madhouse, Light novel, Summer 2018,722736,4687,203,668
Plastic Memories,7.92,13, Doga Kobo, Original, Spring 2015,818671,10612,158,669
"Quanzhi Gaoshou\The Kings Avatar""",7.92,12, B.CMAY PICTURES, Novel,TBD,328291,3619,558,670
Tonikaku Kawaii\TONIKAWA: Over the Moon For You,7.92,12, Seven Arcs, Manga, Fall 2020,563533,8458,302,671
Cike Wu Liuqi\Scissor Seven,7.92,10," None found, add some", Original,TBD,59505,809,2372,672
City Hunter,7.92,51, Sunrise, Manga, Spring 1987,67447,838,2204,673
Code Geass: Fukkatsu no Lelouch\Code Geass: Lelouch of the Re;surrection,7.92,1, Sunrise, Original,TBD,271993,1784,708,674
Hanasaku Iroha\Hanasaku Iroha: Blossoms for Tomorrow,7.92,26, P.A. Works, Original, Spring 2011,305494,2459,612,675
Kaleido Star,7.92,51," Gonzo, G&G Entertainment", Original, Spring 2003,77341,1174,2018,676
Macross,7.92,36, Tatsunoko Production, Original, Fall 1982,95385,1573,1766,677
Bungou Stray Dogs: Dead Apple,7.91,1, Bones, Manga,TBD,210136,1413,913,678
Detective Conan OVA 09: The Stranger in 10 Years...,7.91,1, TMS Entertainment, Manga,TBD,19262,12,4205,679
Drifters,7.91,12, Hoods Drifters Studio, Manga, Fall 2016,486895,3418,359,680
ef: A Tale of Memories.\ef - a tale of memories.,7.91,12, Shaft, Visual novel, Fall 2007,238676,2700,805,681
Ergo Proxy,7.91,23, Manglobe, Original, Winter 2006,563178,11765,305,682
Hidamari Sketch x ,7.91,12, Shaft, 4-koma manga, Winter 2010,25273,149,3726,683
Higurashi no Naku Koro ni\When They Cry,7.91,26, Studio Deen, Visual novel, Spring 2006,726512,19515,200,684
Ie Naki Ko Remy\Sans Famille,7.91,23, Nippon Animation, Novel, Fall 1996,18143,97,4336,685
Jormungand: Perfect Order\Jormungand Season 2: Perfect Order,7.91,12, White Fox, Manga, Fall 2012,170482,664,1103,686
Kono Oto Tomare!\Kono Oto Tomare!: Sounds of Life,7.91,13, Platinum Vision, Manga, Spring 2019,231289,1821,825,687
Lupin III (2015)\Lupin the Third,7.91,24, Telecom Animation Film, Manga, Fall 2015,61444,393,2325,688
Ookiku Furikabutte\Big Windup!,7.91,25, A-1 Pictures, Manga, Spring 2007,92819,1661,1795,689
Sakigake!! Cromartie Koukou\Cromartie High School,7.91,26, Production I.G, Manga, Fall 2003,124704,1498,1430,690
Shirokuma Cafe\Polar Bear Cafe,7.91,50, Studio Pierrot, Manga, Spring 2012,85029,858,1907,691
Tennis no Ouji-sama: Zenkoku Taikai-hen\Prince of Tennis: National Championship Chapter,7.91,13, M.S.C, Manga,TBD,42487,62,2844,692
Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,7.91,6, M.S.C, Manga,TBD,34369,36,3202,693
Ushio to Tora (TV) 2nd Season\Ushio & Tora,7.91,13," MAPPA, Studio VOLN", Manga, Spring 2016,120070,290,1470,694
Vanitas no Karte\The Case Study of Vanitas,7.91,12, Bones, Manga, Summer 2021,354699,4864,510,695
Yagate Kimi ni Naru\Bloom Into You,7.91,13, TROYCA, Manga, Fall 2018,275485,5099,692,696
Yuri!!! on Ice,7.91,12, MAPPA, Original, Fall 2016,770025,18977,172,697
Zoku Sayonara Zetsubou Sensei,7.91,13, Shaft, Manga, Winter 2008,122700,482,1455,698
Saiunkoku Monogatari\The Story of Saiunkoku,7.9,39, Madhouse, Light novel, Spring 2006,87711,1078,1863,699
School Rumble,7.9,26, Studio Comet, Manga, Fall 2004,304061,4947,614,700
Shijou Saikyou no Deshi Kenichi OVA\KenIchi: The Mightiest Disciple OVA,7.9,11,Studios: Brains Base, Manga,TBD,52402,95,2541,701
Summer Ghost,7.9,1, Flat Studio, Mixed media,TBD,29291,199,3474,702
Terra e... (TV),7.9,24," Tokyo Kids, Minami Machi Bugyousho", Manga, Spring 2007,57424,842,2431,703
Wu Shan Wu Xing (2020)\Fog Hill of Five Elements,7.9,3," Nice Boat Animation, Samsara Animation Studio", Original,TBD,39991,268,2953,704
Aria the Avvenire,7.9,3, TYO Animations, Manga,TBD,24300,95,3808,705
Date A Live II: Kurumi Star Festival,7.9,1, Production IMS, Light novel,TBD,158329,940,1197,706
Death Billiards,7.9,1, Madhouse, Original,TBD,218473,317,878,707
Free! Eternal Summer: Kindan no All Hard!,7.9,1, Kyoto Animation, Original,TBD,86423,190,1885,708
Gake no Ue no Ponyo\Ponyo,7.9,1, Studio Ghibli, Original,TBD,473278,2952,371,709
Gakuen Babysitters\School Babysitters,7.9,12,Studios: Brains Base, Manga, Winter 2018,269891,2534,713,710
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,7.9,1, Kitty Film Mitaka Studio, Novel,TBD,34454,52,3197,711
